C1,C2,C3,C4,C5
Office,Apartment House,Retail Dealer,Restaurant Class 1,Apartment House Strata
Office,Retail Dealer,Financial Services,Restaurant Class 1,Computer Services
Office,Wholesale  Dealer,Manufacturer,Retail Dealer,Retail Dealer - Food
Apartment House,One-Family Dwelling,Office,Multiple Dwelling,Retail Dealer
One-Family Dwelling,Secondary Suite - Permanent,Contractor,Office,Retail Dealer
One-Family Dwelling,Office,Retail Dealer,Health Services,Secondary Suite - Permanent
Apartment House,Office,Multiple Dwelling,Retail Dealer,Health Services
Office,Health Services,Retail Dealer,Apartment House,Restaurant Class 1
Apartment House,Office,Retail Dealer,Multiple Dwelling,Wholesale  Dealer
One-Family Dwelling,Office,Secondary Suite - Permanent,Contractor,Retail Dealer
Office,One-Family Dwelling,Retail Dealer,Apartment House,Health Services
Office,One-Family Dwelling,Multiple Dwelling,Contractor,Apartment House
One-Family Dwelling,Office,Health Services,Duplex,Retail Dealer
One-Family Dwelling,Secondary Suite - Permanent,Office,Retail Dealer,Duplex
One-Family Dwelling,Secondary Suite - Permanent,Retail Dealer,Office,Contractor
One-Family Dwelling,Secondary Suite - Permanent,Office,Contractor,Retail Dealer
Office,One-Family Dwelling,Retail Dealer,Apartment House,Health Services
Retail Dealer,Health Services,Office,One-Family Dwelling,Contractor
Secondary Suite - Permanent,One-Family Dwelling,Contractor,Retail Dealer,Office
One-Family Dwelling,Contractor,Secondary Suite - Permanent,Office,Retail Dealer
One-Family Dwelling,Contractor,Office,Secondary Suite - Permanent,Retail Dealer
Apartment House,Office,One-Family Dwelling,Wholesale  Dealer,Contractor
